Label,student_size,configuration,Average of janos_time,Model
LinReg,50,NULL,0.04950695,LinReg
LinReg,100,NULL,0.093194437,LinReg
LinReg,500,NULL,0.725548077,LinReg
LinReg,1000,NULL,1.322991562,LinReg
LogReg,50,5,0.249939775,LogReg(5)
LogReg,50,10,0.427301025,LogReg(10)
LogReg,50,15,0.502527618,LogReg(15)
LogReg,50,20,0.665271282,LogReg(20)
LogReg,50,25,0.84777317,LogReg(25)
LogReg,100,5,0.276953411,LogReg(5)
LogReg,100,10,0.770431376,LogReg(10)
LogReg,100,15,0.916578388,LogReg(15)
LogReg,100,20,1.782598877,LogReg(20)
LogReg,100,25,1.927526474,LogReg(25)
LogReg,500,5,1.134187078,LogReg(5)
LogReg,500,10,3.432491541,LogReg(10)
LogReg,500,15,22.82722402,LogReg(15)
LogReg,500,20,27.73634758,LogReg(20)
LogReg,500,25,48.7716332,LogReg(25)
LogReg,1000,5,12.27152262,LogReg(5)
LogReg,1000,10,40.84514823,LogReg(10)
LogReg,1000,15,44.27765498,LogReg(15)
LogReg,1000,20,42.38889861,LogReg(20)
LogReg,1000,25,58.39094195,LogReg(25)
NN,50,0,1.749411631,NN(1)
NN,50,1,5.609812593,NN(2)
NN,50,2,5.134602404,NN(3)
NN,100,0,2.019297791,NN(1)
NN,100,1,3.541650581,NN(2)
NN,100,2,77.59957767,NN(3)
NN,500,0,13.31252003,NN(1)
NN,500,1,32.16499887,NN(2)
NN,500,2,1313.022869,NN(3)
NN,1000,0,8.453273582,NN(1)
NN,1000,1,45.37280903,NN(2)